date,stockcode,sector,foreign_percentage,price_return_10d,cumsumnetvalue_ma10,positive_net_ratio_10d
2025-12-30,CARS,INVESTMENT COMPANY,13.65,-0.02400000000000002,-19149124810.022003,0.4
2025-12-30,PSKT,"RESTAURANT, HOTEL & TOURISM",1.18,-0.13888888888888884,-18460954235.908623,
2025-12-30,MSKY,"ADVERTISING,PRINTING and MEDIA",3.71,-0.012195121951219523,-16902144681.30833,0.2
2025-12-30,MTDL,COMPUTER AND SERVICES,14.21,-0.01666666666666672,-16875228627.771536,0.8
2025-12-30,WIIM,TOBACCO MANUFACTURERS,4.04,0.0185185185185186,-16405055648.514141,0.3
2025-12-30,SMAR,PLANTATION,2.17,0.017057569296375252,-16247809619.23883,0.4
2025-12-30,TOTO,"CERAMICS, GLASS, PORCELAIN",3.43,-0.007299270072992692,-16204206739.028164,0.0
2025-12-30,BPII,OTHERS - FINANCE,95.85,0.0,-15862786545.751017,1.0
2025-12-30,NIRO,PROPERTY AND REAL ESTATE,75.59,0.058064516129032295,-15700052538.33096,0.7
2025-12-30,TBLA,FOOD & BEVERAGES,28.67,0.0,-15642093040.304056,0.2
2025-12-30,DLTA,FOOD & BEVERAGES,4.57,0.010000000000000009,-15290069157.214725,0.2
2025-12-30,FUTR,COMPUTER AND SERVICES,0.33,-0.07042253521126762,-15110846893.159998,0.3
2025-12-30,FORU,"ADVERTISING,PRINTING and MEDIA",79.25,0.07348242811501593,-14894476476.098612,0.3
2025-12-30,TALF,PLASTICS & PACKAGING,4.83,-0.017699115044247815,-14395896859.673054,0.2
2025-12-30,SLIS,ELECTRONICS,2.12,-0.010638297872340385,-14375532976.42786,0.4
2025-12-30,BBHI,BANK,11.4,0.006756756756756799,-14251905220.618755,0.4
2025-12-30,GZCO,PLANTATION,14.53,-0.09722222222222221,-14234124133.958017,0.5
2025-12-30,KBLI,CABLE,7.12,-0.012269938650306789,-13130542589.33421,1.0
2025-12-30,RAAM,OTHERS - CONSUMER GOODS INDUSTRY,12.18,0.01754385964912286,-12914504313.162205,0.2
2025-12-30,VTNY,INVESTMENT COMPANY,60.33,-0.030927835051546393,-12741715670.449091,0.2
2025-12-30,ECII,RETAIL TRADE,30.77,-0.053475935828877,-12530582095.004423,0.3
2025-12-30,INPP,INVESTMENT COMPANY,49.53,0.10144927536231885,-12523858265.430746,0.7
2025-12-30,KBLV,TELECOMUNICATION,7.45,-0.101010101010101,-12253416611.676388,0.6
2025-12-30,GPSO,MACHINERY AND HEAVY EQUIPMENT,0.67,-0.1707317073170732,-12188235259.261856,0.7
2025-12-30,BEKS,BANK,0.67,-0.032258064516129004,-12109534244.04852,0.1
2025-12-30,SKRN,CONSTRUCTION,5.09,-0.03539823008849563,-11904962644.00277,0.3
2025-12-30,DMMX,"ADVERTISING,PRINTING and MEDIA",7.91,-0.06862745098039214,-11639186805.282726,0.6
2025-12-30,PIPA,OTHER - BASIC INDUSTRY AND CHEMICALS,4.1,0.14563106796116498,-11549668162.761084,0.6
2025-12-30,BNII,BANK,18.98,0.0,-11335981712.338598,0.2
2025-12-30,ASLC,AUTOMOTIVE AND COMPONENTS,4.79,0.011627906976744207,-11156183273.718826,0.4
2025-12-30,ACRO,OTHER - BASIC INDUSTRY AND CHEMICALS,4.9,0.011627906976744207,-10952234635.013708,0.3
2025-12-30,PBRX,"TEXTILE, GARMENT",27.75,0.0,-10760523424.888529,0.2
2025-12-30,DVLA,PHARMACEUTICALS,97.06,0.003039513677811634,-10553232970.166622,0.1
2025-12-30,MDLN,PROPERTY AND REAL ESTATE,24.0,0.016666666666666607,-10463780684.908667,0.6
2025-12-30,BEEF,ANIMAL HUSBANDRY,70.64,-0.10588235294117643,-10436471805.051983,0.4
2025-12-30,GOOD,FOOD & BEVERAGES,31.19,0.06321839080459779,-10196675855.671051,0.4
2025-12-30,MPPA,RETAIL TRADE,14.15,-0.032786885245901676,-10010933440.617817,0.4
2025-12-30,LTLS,INVESTMENT COMPANY,16.06,0.0,-9678213601.014515,0.2
2025-12-30,INDX,OTHERS - MISCELLANENEOUS INDUSTRY,78.83,-0.03508771929824561,-9522119429.308567,0.3
2025-12-30,MREI,INSURANCE,48.38,0.27659574468085113,-9267732185.433971,0.5
2025-12-30,PORT,"OTHERS - TRADE, SERVICES & INVESTMENT",70.15,0.19806763285024154,-9097462382.564579,0.3
2025-12-30,LINK,"ADVERTISING,PRINTING and MEDIA",75.47,-0.02863961813842486,-8739536298.994143,0.2
2025-12-30,MCAS,COMPUTER AND SERVICES,30.1,-0.06399999999999995,-8431216052.871744,0.2
2025-12-30,BATA,FOOTWEAR,7.49,0.09375,-8335219787.947403,0.0
2025-12-30,PJAA,PROPERTY AND REAL ESTATE,1.94,-0.00877192982456143,-8269517558.651813,0.6
2025-12-30,BLTA,TRANSPORTATION,19.07,0.1351351351351351,-8108224835.784307,0.0
2025-12-30,SCCO,CABLE,0.23,-0.025423728813559365,-7942235742.252795,0.5
2025-12-30,MICE,WHOLESALE (DURABLE & NON DURABLE GOODS),25.34,-0.008620689655172376,-7630988903.662251,0.1
2025-12-30,CMNP,"TOLL ROAD, AIRPORT, HARBOR & ALLIED PROD.",64.34,0.33712121212121215,-6968317823.246516,0.6
2025-12-30,IKAI,"RESTAURANT, HOTEL & TOURISM",2.89,-0.09090909090909094,-6883723994.46127,0.2
2025-12-30,HERO,RETAIL TRADE,13.27,-0.10416666666666663,-6834591909.613773,0.7
2025-12-30,DIVA,COMPUTER AND SERVICES,9.03,-0.106951871657754,-6539316938.076462,0.0
2025-12-30,MARI,"ADVERTISING,PRINTING and MEDIA",1.01,0.0,-6458214361.913023,0.0
2025-12-30,SGER,ENERGY,0.18,-0.018779342723004744,-6314331232.929131,0.5
2025-12-30,BNBA,BANK,0.79,0.0859375,-6215175079.580117,0.4
2025-12-30,JGLE,PROPERTY AND REAL ESTATE,28.24,0.24242424242424243,-6092288652.097311,0.6
2025-12-30,APLN,PROPERTY AND REAL ESTATE,1.43,0.02941176470588225,-5777641352.270597,0.4
2025-12-30,BABP,BANK,23.73,0.0,-5733178714.680014,0.8
2025-12-30,AMFG,"CERAMICS, GLASS, PORCELAIN",8.67,0.10784313725490202,-5661977166.007357,0.5
2025-12-30,KREN,INVESTMENT COMPANY,4.88,-0.050000000000000044,-5646524436.437736,0.0
2025-12-30,KEEN,"OTHERS - INFRASTRUCTURE, UTILITIES & TRANSPORTATIO",25.29,-0.03809523809523807,-5642317693.318211,0.5
2025-12-30,BACA,BANK,1.3,0.5,-5613313000.89924,0.4
2025-12-30,CBRE,TRANSPORTATION,7.69,-0.1131221719457014,-5563243352.606653,0.3
2025-12-30,MPOW,ENERGY,64.25,-0.023809523809523836,-5489866807.221385,0.3
2025-12-30,GDST,METAL AND ALLIED PRODUCTS,8.01,0.02499999999999991,-5409277842.959125,0.4
2025-12-30,DGNS,HEALTH CARE,1.12,0.03370786516853941,-5337056981.567076,0.5
2025-12-30,VOKS,CABLE,84.92,-0.03053435114503822,-5100299430.283429,0.6
2025-12-30,JKON,BUILDING CONSTRUCTION,4.15,0.0117647058823529,-4916231661.126036,0.4
2025-12-30,MKAP,OTHERS - MINING,0.34,0.00588235294117645,-4896459469.1659,0.3
2025-12-30,LIVE,WHOLESALE (DURABLE & NON DURABLE GOODS),0.24,-0.008547008547008517,-4827558848.652844,0.6
2025-12-30,KAEF,PHARMACEUTICALS,0.06,-0.04629629629629628,-4660074990.174248,0.2
2025-12-30,MDKI,METAL AND ALLIED PRODUCTS,2.86,0.04950495049504955,-4625195982.035414,0.4
2025-12-30,TRGU,FOOD & BEVERAGES,13.88,0.005025125628140614,-4600475085.164231,0.3
2025-12-30,FITT,"RESTAURANT, HOTEL & TOURISM",0.02,-0.20143884892086328,-4571980381.625456,0.2
2025-12-30,RISE,PROPERTY AND REAL ESTATE,0.0,-0.054973821989528826,-4496864081.127484,0.6
2025-12-30,AXIO,COMPUTER AND SERVICES,0.02,-0.015151515151515138,-4421542807.399691,0.4
2025-12-30,SMKL,PULP & PAPER,5.02,0.0235294117647058,-4388918652.020445,0.5
2025-12-30,WTON,CEMENT,1.04,0.04123711340206193,-4308771607.0359335,0.5
2025-12-30,PANS,SECURITIES COMPANY,2.12,0.023972602739726012,-4126816423.1219683,0.2
2025-12-30,SURI,HEALTH CARE,0.01,-0.08999999999999997,-4088273062.270714,0.2
2025-12-30,RONY,OTHERS - MISCELLANENEOUS INDUSTRY,80.02,0.0026954177897573484,-4059619691.8979673,0.2
2025-12-30,SOFA,WOOD INDUSTRIES,0.04,-0.15068493150684936,-4009169398.5399714,0.6
2025-12-30,BALI,TELECOMUNICATION,10.53,0.02298850574712641,-3822419610.469747,0.3
2025-12-30,BGTG,BANK,33.62,0.02586206896551735,-3774286515.3175645,0.4
2025-12-30,ELTY,PROPERTY AND REAL ESTATE,12.17,0.0714285714285714,-3701817365.1563454,0.4
2025-12-30,GULA,PLANTATION,0.14,-0.058394160583941646,-3576267075.0083847,0.7
2025-12-30,BINA,BANK,30.04,0.0,-3536661909.539862,0.2
2025-12-30,GEMA,WHOLESALE (DURABLE & NON DURABLE GOODS),1.6,0.01041666666666674,-3518683584.711169,0.5
2025-12-30,SHID,"RESTAURANT, HOTEL & TOURISM",0.44,0.005586592178770999,-3339310858.71451,0.3
2025-12-30,VICI,COSMETICS AND HOUSEHOLD,25.07,-0.1392405063291139,-3335006179.3577023,0.4
2025-12-30,MHKI,OTHER - BASIC INDUSTRY AND CHEMICALS,0.04,0.04615384615384621,-3227544723.41241,0.4
2025-12-30,DEPO,RETAIL TRADE,24.56,-0.06474820143884896,-3199063304.6117187,0.2
2025-12-30,BNLI,BANK,98.75,0.10991379310344818,-3195597441.934121,0.8
2025-12-30,WSBP,BUILDING CONSTRUCTION,0.44,-0.14814814814814814,-3101856141.037803,0.2
2025-12-30,RDTX,PROPERTY AND REAL ESTATE,0.05,0.04329896907216502,-2813593631.0550075,0.2
2025-12-30,MSJA,"TEXTILE, GARMENT",2.58,-0.10106382978723405,-2773488918.0232925,0.5
2025-12-30,TRJA,TRANSPORTATION,1.27,0.08024691358024683,-2551290079.6436906,0.4
2025-12-30,MITI,LAND/STONE QUARRYING,0.17,0.18823529411764706,-2550899016.4840083,0.8
2025-12-30,BELL,"TEXTILE, GARMENT",1.13,0.014705882352941124,-2512402484.9503894,0.4
2025-12-30,KMDS,FOOD & BEVERAGES,6.16,0.014925373134328401,-2512252878.1269197,0.2
2025-12-30,CENT,NON BUILDING CONSTRUCTION,96.33,-0.012903225806451646,-2490178091.729953,0.2
2025-12-30,LPLI,"ADVERTISING,PRINTING and MEDIA",21.03,-0.2152466367713004,-2488832177.360017,0.3
2025-12-30,ISEA,FOOD & BEVERAGES,0.01,-0.019607843137254943,-2484178314.502036,0.4
2025-12-30,BOLA,"OTHERS - TRADE, SERVICES & INVESTMENT",4.95,-0.06451612903225812,-2463981515.1534295,0.3
2025-12-30,ITIC,TOBACCO MANUFACTURERS,11.94,-0.016393442622950838,-2462509924.8053045,0.8
2025-12-30,FISH,WHOLESALE (DURABLE & NON DURABLE GOODS),0.16,-0.12227074235807855,-2406665829.3089733,0.2
2025-12-30,UVCR,COMPUTER AND SERVICES,0.28,0.1287878787878789,-2358837248.967868,0.8
2025-12-30,MBTO,COSMETICS AND HOUSEHOLD,0.98,0.02285714285714291,-2307607545.4638815,0.5
2025-12-30,ASMI,INSURANCE,0.53,-0.0625,-2263634024.7635174,0.4
2025-12-30,PTIS,TRANSPORTATION,10.55,-0.011627906976744207,-2236373468.5378547,0.6
2025-12-30,LCKM,RETAIL TRADE,12.36,-0.042857142857142816,-2177987623.797846,0.4
2025-12-30,INDR,"TEXTILE, GARMENT",2.5,0.021897810218978186,-2159423155.9095216,0.1
2025-12-30,AMAG,INSURANCE,1.99,0.05789473684210522,-2158558682.923105,0.5
